Object ID,Department,AccessionYear,Object Name,Title,Culture,Artist Role,Artist Display Bio,Artist Alpha Sort,Object Date,City,Country,Classification,Link Resource,Tags
370871,Drawings and Prints,1934.0,Album Print Ornament & Architecture,"Two Armorial Trophies marked by the inclusion of a Greave in the right Trophy, plate 5 from ""Libro de' Trofei""",,Engraver|Former Attribution|Publisher|Artist," |Italian, Parma 1523–1567 Ferrara|French, Orgelet, Franche-Comte ca. 1512–1577 Rome|Italian, Caravaggio ca. 1499–ca. 1543 Messina","Anonymous, Italian, 16th century|Vico, Enea|Lafreri, Antonio|Caravaggio, Polidoro da",ca. 1550–53,Rome,,Prints|Ornament & Architecture|Albums,http://www.metmuseum.org/art/collection/search/370871,
789185,Drawings and Prints,1959.0,Print,Domestic Arrangements in Prison,,Publisher|Printer|Author|Artist,"British, active 1794–1829|London|Irish, Pallas, Longford ca. 1728–1774 London|British, London 1757–1827 London","Ackermann, Rudolph|Clowes, William|Goldsmith, Oliver|Rowlandson, Thomas","May 1, 1817",London,,Prints,http://www.metmuseum.org/art/collection/search/789185,Prisons|Children|Men|Women
734021,Drawings and Prints,1920.0,"Book
Ornament and architecture
Print","Details of Architectural Orders, after Veneziano and others",,Artist|Artist,"French, Paris 1510/12–1585 Annecy|Italian, active 1509–1536","Du Cerceau, Jacques Androuet|Veneziano, Antonio",1550,Orleans,,Books|Ornament & Architecture|Prints,http://www.metmuseum.org/art/collection/search/734021,
630073,Drawings and Prints,1945.0,Print,"Frontispiece depicting a View of Bologna, from Di Bologna l'Arti per via D'An.ibal' Ca.rac, plate 1",,Artist|Artist|Publisher|Printer,"Italian, Bologna (?) 1634–1718 Bologna|Italian, Bologna 1560–1609 Rome|Italian, Rome 1627–1691 Rome| ","Mitelli, Giuseppe Maria|Carracci, Annibale|Rossi, Giovanni Giacomo De|Calcografia, Camerale La",printed 1740,Rome,,Prints,http://www.metmuseum.org/art/collection/search/630073,
336325,Drawings and Prints,1975.0,Book,"Correspondances, Paris, Tériade, 1944",,Artist|Publisher,"French, Fontenay-aux-Roses 1867–1947 Le Cannet| ","Bonnard, Pierre|Tériade",1944,Paris,,Books,http://www.metmuseum.org/art/collection/search/336325,
778084,Drawings and Prints,1949.0,Print,The wedding feast at Cana in Galilee,,Artist|Artist,"Italian, Bassano 1732–1803 Rome|Italian, Venice 1518/19–1594 Venice","Volpato, Giovanni|Tintoretto, Jacopo (Jacopo Robusti)",1772,Venice,,Prints,http://www.metmuseum.org/art/collection/search/778084,
348163,Drawings and Prints,1972.0,Book,The Salt Herring,,Author|Translator|Illustrator|Publisher,"French, 1842–1888|French, 1854–1905|American, Chicago 1925–2000 Cape Cod|New York, NY","Cros, Charles|Allais, Alphonse|Gorey, Edward|Gotham Book Mart & Gallery, Inc.",1971,New York,,Books,http://www.metmuseum.org/art/collection/search/348163,
9828,The American Wing,1966.0,Window seat,Window Seat,American,Maker|Maker,"1837–1840, active New York|American (born Scotland), near Lock Fannich, Ross-Shire, Scotland 1768/1770–1854 New York","Phyfe & Sons, D.|Phyfe, Duncan",ca. 1837,New York,United States,,http://www.metmuseum.org/art/collection/search/9828,
14072,The American Wing,1957.0,Sampler,Embroidered sampler,American,Maker,born ca. 1828,"Coons, Elizabeth",1840,Halfmoon,United States,,http://www.metmuseum.org/art/collection/search/14072,
345451,Drawings and Prints,1935.0,Book,"The Country-mans Recreation or the Art of Planting, Grafting and Gardening in three Books.",,Printer|Author," |British, active 1650s","Mabb, T.|Barker, Thomas",1654,London,,Books,http://www.metmuseum.org/art/collection/search/345451,
345314,Drawings and Prints,1981.0,Book,"New Pocket Valentine Writer For the Present Year; Adapted to all Trades, Professions, &c., With Answers Favourable and Unfavourable",,Printer,London,"Bailey, J.",1808–24,London,,Books,http://www.metmuseum.org/art/collection/search/345314,
742628,Drawings and Prints,1959.0,Print Ornament & Architecture,Archaeological Plate from Collection for Book Illustrations with a Neoclassical Subject,,Artist, ,"Anonymous, French, 18th century",18th century,Leipzig,,Prints|Ornament & Architecture,http://www.metmuseum.org/art/collection/search/742628,
344232,Drawings and Prints,1949.0,Book,Theatre d'Amour,,Artist,"Netherlandish, Arnemuiden 1564–1637 Utrecht","Passe, Crispijn de, the Elder",ca. 1606,"no place, no date",,Books,http://www.metmuseum.org/art/collection/search/344232,
356707,Drawings and Prints,1925.0,Book,Sermone della oratione,,Author,"Italian, 1452–1498","Savonarola, Girolamo",ca. 1490–1500,Florence,,Books,http://www.metmuseum.org/art/collection/search/356707,
334215,Drawings and Prints,1960.0,Book ; Ornament and architecture,"Church Vestments: their origin, use, and ornament",,Lithographer|Printer|Publisher|Author|Printer,"British, active 1849–95|London|London|British, 19th century| ","Dolby, Edwin Thomas|Clowes,William and Sons|Chapman and Hall|Dolby, Anastasia|Hanhart, M. & N.",1868,London,,Books|Ornament & Architecture,http://www.metmuseum.org/art/collection/search/334215,
452652,Islamic Art,1974.0,Folio from an illustrated manuscript,"""Isfandiyar's Fourth Course: He Slays a Sorceress"", Folio from a Shahnama (Book of Kings) of Firdausi",,Author,"Iranian, Paj ca. 940/41–1020 Tus",Abu'l Qasim Firdausi,ca. 1330–40,probably Isfahan,Iran,Codices,http://www.metmuseum.org/art/collection/search/452652,Ducks|Men|Women|Lutes|Horses
727097,Drawings and Prints,1991.0,Book Prints Ornaments & Architecture,"Prismes: 40 Planches de Dessins et Coloris Nouveaux, Pl. 38",,Publisher|Designer,"French|French, 1877–1951","Moreau, Charles Editions d'Art|Séguy, Emile-Allain",[ca. 1930],Paris,,Books|Prints|Ornament & Architecture,http://www.metmuseum.org/art/collection/search/727097,
434964,Drawings and Prints,1929.0,Print collection ornament & architecture,"Two variants for tables and mirrors with Boreas and Orithiya on the mirror, from Livre de miroirs, tables, et guéridons, plate 6",,Artist|Publisher,"French, Paris 1618–1682 Paris|French, Paris 1618–1682 Paris","Le Pautre, Jean|Le Pautre, Jean",17th century,Paris,,Prints|Ornament & Architecture,http://www.metmuseum.org/art/collection/search/434964,
655924,Drawings and Prints,1947.0,Print ; book,"Lion & Tiger, after Stubbs",,Publisher|Etcher|Artist|Artist," |British, London 1795–1880 London|British, active 1800–40|British, Liverpool 1724–1806 London","Bohn, Henry G.|Landseer, Thomas|Spilsbury, Edgar Ashe|Stubbs, George",1853,London,,Prints|Books,http://www.metmuseum.org/art/collection/search/655924,
628925,Drawings and Prints,1948.0,Print ornament & architecture,"Cartouche with two monkeys at bottom center, from Strapwork Cartouches with Grotesques, plate 3",,Artist|Publisher,"Netherlandish, Leeuwarden 1527–1606 (?)  Antwerp (?)|Netherlandish, Antwerp ca. 1510–1570 Antwerp","Vredeman de Vries, Hans|Cock, Hieronymus",ca. 1555–70,Antwerp,,Prints|Ornament & Architecture,http://www.metmuseum.org/art/collection/search/628925,
736310,Drawings and Prints,1959.0,Print,"Country Cart Horses, from A New Book of Horses and Carriages",,Publisher|Artist,"British, active 1785–87|British, London 1757–1827 London","Jackson, Elizabeth|Rowlandson, Thomas",1784,London,,Prints,http://www.metmuseum.org/art/collection/search/736310,Horses|Carriages
716890,The American Wing,2019.0,Vase,Vase,American,Maker,"American, Middletown, Connecticut, 1865–1929 Syracuse, New York","Robineau, Adelaide Alsop",1905,Syracuse,United States,,http://www.metmuseum.org/art/collection/search/716890,
345613,Drawings and Prints,1986.0,Book,A Little Book of Natural History,,Engraver,"American, New Brunswick, New Jersey 1922–2000 Northampton, Massachusetts","Baskin, Leonard",1951,Worcester,,Books,http://www.metmuseum.org/art/collection/search/345613,
