Object ID,Is Public Domain,Department,AccessionYear,Object Name,Title,Culture,Artist Role,Artist Display Name,Artist Display Bio,Object Date,Object Begin Date,Credit Line,City,Classification,Link Resource,Tags
655997,False,Drawings and Prints,1947.0,Print,Fox Hounds of the Hatfield Hunt,,Publisher|Etcher|Artist,Henry G. Bohn|Thomas Landseer|Sir Edwin Henry Landseer,"|British, London 1795–1880 London|British, London 1802–1873 London",1853,1853,"Harris Brisbane Dick Fund, 1947",London,Prints,http://www.metmuseum.org/art/collection/search/655997,
426464,False,Drawings and Prints,1930.0,Prints Collection Ornament & Architecture,"Four Designs for Borders for Baldachins or Valances, Combined with Three Designs for Chairs and Tabourets at Left, from Second Liure Dappartements, part of Œuvres du Sr. D. Marot",,Artist|Publisher,Daniel Marot the Elder|Pierre Husson,"French, Paris 1661–1752 The Hague|",published 1703 or 1712,1703,"Harris Brisbane Dick Fund, 1930",The Hague,Prints|Ornament & Architecture,http://www.metmuseum.org/art/collection/search/426464,
3204,False,The American Wing,1969.0,Dinner plate,Dinner Plate,American,Maker,Union Porcelain Works,1863–1922,1885,1885,"Gift of Mr. and Mrs. Franklin Chace, 1969",Brooklyn,,http://www.metmuseum.org/art/collection/search/3204,
346777,False,Drawings and Prints,1941.0,Book ; Ornament and architecture,Sixty Different Sorts of Ornaments,,Designer|Etcher|Etcher,Gaetano Brunetti|Henry Fletcher|Jean La Rocque,"Italian, active in London and Paris, (?)–1758|British, active 1715–38|British, active 18th century",1736,1736,"Rogers Fund, transferred from the Library",London,Books|Ornament & Architecture,http://www.metmuseum.org/art/collection/search/346777,
3554,False,The American Wing,1978.0,Étagère,Étagère,American,Maker,Heywood Brothers and Wakefield Company,"American, 1897–1921",1897–1905,1897,"Gift of Charlotte Pickman-Gertz, 1978",Wakefield|Gardner,,http://www.metmuseum.org/art/collection/search/3554,
426805,False,Drawings and Prints,1930.0,Prints Collection Ornament & Architecture,"Quarter of a Ceiling with Mercury in a Painted Scene at Center, Framed by a Wide Border with a Bust in a Niche at the Corner, from Nouveau Liure de Placfond, part of Œuvres du Sr. D. Marot",,Artist|Publisher,Daniel Marot the Elder|Pierre Husson,"French, Paris 1661–1752 The Hague|",published 1703 or 1712,1703,"Harris Brisbane Dick Fund, 1930",The Hague,Prints|Ornament & Architecture,http://www.metmuseum.org/art/collection/search/426805,
24855,True,Arms and Armor,1968.0,Percussion revolver,"Colt Model 1851 Navy Percussion Revolver, serial no. 2","American, Hartford, Connecticut",Manufacturer,Samuel Colt,"American, Hartford, Connecticut 1814–1862",1850,1850,"Gift of John E. Parsons, 1968",Hartford,Firearms-Pistols-Revolvers,http://www.metmuseum.org/art/collection/search/24855,
452766,true,Islamic Art,1975.0,Folio from an illustrated manuscript,"""Rustam's Seventh Course: He Kills the White Div"",  Folio from a Shahnama (Book of Kings)",,Author|Artist,Abu'l Qasim Firdausi|Mu'in Musavvir,"Iranian, Paj ca. 940/41–1020 Tus|Iranian, active 1630s–90s",dated A.H. 1077/ 1666–67 CE,1641,"Gift of Richard Ettinghausen, 1975",Isfahan,Codices,http://www.metmuseum.org/art/collection/search/452766,Weapons|Men
2567,False,The American Wing,1933.0,Vase,Covered Vase,Dutch,Maker,Rose factory,1662–1854,1727–39,1727,"Rogers Fund, 1933",Delft,,http://www.metmuseum.org/art/collection/search/2567,
665757,False,Drawings and Prints,1952.0,Print,"Fragmens antiques, from Les Plus Beaux Monuments de Rome Ancienne ou Recueil des plus beaux Morceaux de l'Antiquité Romaine qui existent encore",,Artist|Publisher|Printer,Jean Barbault|Bouchard & Gravier|Giunchi Heritiers de Komarek,"French, Viarmes 1718–1762 Rome|Rome|",1761,1761,"Rogers Fund, 1952",Rome,Prints,http://www.metmuseum.org/art/collection/search/665757,
